"KNOEMA_COMMODITY_GROUP","KNOEMA_PRICE_DETAIL","MO_PRICE_TYPE","KNOEMA_MARKET","KNOEMA_UNITS","RELEASE","API_KEY","Unit","Date","Value"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1994M4","100"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1994M5","98.6926"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1994M6","98.5109"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1994M7","94.9745"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1994M8","95.4589"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1994M9","93.6632"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1994M10","94.3329"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1994M11","93.2779"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1994M12","93.9651"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1995M1","94.2073"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1995M2","94.997"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1995M3","103.6092"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1995M4","105.0163"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1995M5","104.7404"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1995M6","108.1183"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1995M7","106.4532"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1995M8","106.9465"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1995M9","101.7168"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1995M10","100.4256"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1995M11","99.524"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1995M12","98.5037"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1996M1","96.826"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1996M2","96.3249"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1996M3","94.7207"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1996M4","96.528"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1996M5","95.8611"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1996M6","95.8247"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1996M7","96.5523"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1996M8","95.96"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1996M9","97.0461"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1996M10","96.971"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1996M11","96.7735"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1996M12","96.6593"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1997M1","96.9153"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1997M2","96.8058"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1997M3","97.2626"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1997M4","98.7439"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1997M5","98.4369"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1997M6","97.4125"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1997M7","97.2588"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1997M8","97.373"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1997M9","97.8452"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1997M10","98.2322"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1997M11","97.6553"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1997M12","97.98"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1998M1","94.7935"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1998M2","94.7935"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1998M3","88.3609"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1998M4","87.1871"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1998M5","85.7059"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1998M6","84.4854"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1998M7","83.6638"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1998M8","82.9786"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1998M9","82.0282"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1998M10","77.6522"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1998M11","74.5522"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1998M12","73.4809"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1999M1","71.8241"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1999M2","72.4274"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1999M3","72.4274"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1999M4","72.8948"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1999M5","72.9227"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1999M6","73.4475"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1999M7","75.4235"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1999M8","77.1639"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1999M9","77.6114"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1999M10","78.8262"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1999M11","79.7914"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1999M12","79.2393"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2000M1","80.2828"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2000M2","81.9062"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2000M3","83.327"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2000M4","84.1331"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2000M5","84.7627"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2000M6","83.5684"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2000M7","82.9452"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2000M8","78.9117"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2000M9","78.6047"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2000M10","78.987"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2000M11","78.3186"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2000M12","78.3186"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2001M1","78.547"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2001M2","77.9682"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2001M3","77.9118"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2001M4","78.0109"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2001M5","77.9852"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2001M6","77.5904"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2001M7","77.8022"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2001M8","77.3031"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2001M9","77.378"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2001M10","77.1566"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2001M11","76.2429"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2001M12","75.5637"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2002M1","74.7367"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2002M2","74.7367"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2002M3","76.0527"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2002M4","77.146"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2002M5","78.1591"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2002M6","80.274"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2002M7","82.3837"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2002M8","86.1899"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2002M9","86.3421"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2002M10","82.6626"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2002M11","83.6089"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2002M12","85.3586"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2003M1","97.0399"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2003M2","97.7888"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2003M3","101.9383"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2003M4","98.6823"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2003M5","97.6097"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2003M6","96.9396"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2003M7","97.4926"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2003M8","99.9363"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2003M9","101.4087"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2003M10","105.2763"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2003M11","108.718"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2003M12","111.9941"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2004M1","122.4944"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2004M2","138.8707"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2004M3","154.9559"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2004M4","166.3803"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2004M5","140.3392"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2004M6","138.4549"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2004M7","140.8213"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2004M8","153.5883"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2004M9","154.0534"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2004M10","147.4414"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2004M11","143.2999"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2004M12","141.9938"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2005M1","136.8262"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2005M2","138.0984"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","2005M3","138.3704"
